Lamas_name,Lamas_code,year,3 rooms apartments,average price (NIS) 3 rooms apartments,4+ rooms apartments,average price (NIS) 4+ rooms apartments
אילת,2600,2017,2,900000,1,1100000
אילת,2600,2018,1,1045000,5,1175000
אילת,2600,2019,7,1014285.7142,,
אילת,2600,2020,1,1045000,,
אילת,2600,2023,2,1607500,8,1876405.5
אילת,2600,2024,1,1560000,2,1345000
אילת,2600,2025,1,1280000,1,1710000
אשדוד,70,2017,16,1197687.5,22,1387772.7272
אשדוד,70,2018,33,1290878.7878,21,1559476.1904
אשדוד,70,2019,6,1290833.3333,4,1539500
אשדוד,70,2020,5,1220000,,
אשדוד,70,2022,3,1800666.6666,5,2007572
אשדוד,70,2023,10,1906000,18,2015444.4444
אשדוד,70,2024,6,1732500,9,2068222.2222
אשדוד,70,2025,1,1720000,1,1980000
אשקלון,7100,2017,4,984875,7,1240285.7142
אשקלון,7100,2018,11,960600,20,1134490
אשקלון,7100,2019,2,1017500,2,1295000
אשקלון,7100,2020,11,924636.3636,1,1015000
אשקלון,7100,2021,,,1,1337500
אשקלון,7100,2022,1,1220000,3,1813333.3333
אשקלון,7100,2023,1,1165000,15,1820200
אשקלון,7100,2024,1,1390000,12,1619166.6666
באר שבע,9000,2017,2,865000,2,1025000
באר שבע,9000,2018,19,844789.4736,31,1127677.4193
באר שבע,9000,2019,3,816666.6666,,
באר שבע,9000,2020,8,854250,3,1026666.6666
באר שבע,9000,2021,1,960000,4,978750
באר שבע,9000,2022,7,856428.5714,15,1162466.6666
באר שבע,9000,2023,7,1002142.8571,13,1276846.1538
באר שבע,9000,2024,1,860000,8,1279375
באר שבע,9000,2025,1,970000,1,1210000
בית שמש,2610,2017,5,1227000,2,1270000
בית שמש,2610,2018,3,1186666.6666,22,1370909.0909
בית שמש,2610,2019,2,1280000,,
בית שמש,2610,2020,3,1145000,1,1550000
בית שמש,2610,2022,,,4,2237500
בית שמש,2610,2023,5,1940000,14,2171214.2857
בית שמש,2610,2024,1,2000000,3,2026666.6666
בית שמש,2610,2025,,,2,2505000
ביתר עלית,3780,2018,1,1391000,,
ביתר עלית,3780,2019,1,1500000,2,1440000
ביתר עלית,3780,2022,,,1,2660000
ביתר עלית,3780,2023,2,2080000,4,2425000
ביתר עלית,3780,2024,2,2000000,2,2305000
בני ברק,6100,2017,4,1345000,7,1694000
בני ברק,6100,2018,14,1455357.1428,14,1710857.1428
בני ברק,6100,2019,12,1476166.6666,8,1785000
בני ברק,6100,2020,,,1,1810000
בני ברק,6100,2021,,,2,1850000
בני ברק,6100,2023,3,2046666.6666,12,2444000
בני ברק,6100,2024,3,1894666.6666,3,2175000
בני ברק,6100,2025,,,4,2465000
בת ים,6200,2017,14,1390714.2857,7,1712142.8571
בת ים,6200,2018,32,1438156.25,2,1680000
בת ים,6200,2019,5,1470200,4,1667000
בת ים,6200,2020,5,1362000,1,1955000
בת ים,6200,2021,1,1390000,,
בת ים,6200,2022,2,1832500,2,2095000
בת ים,6200,2023,16,1915937.5,8,2135000
בת ים,6200,2024,12,1833333.3333,3,2583333.3333
בת ים,6200,2025,3,1911666.6666,3,2280000
גבעתים,6300,2018,1,1700000,,
הוד השרון,9700,2017,2,1460000,1,1700000
הוד השרון,9700,2018,1,1680000,2,1652500
הוד השרון,9700,2019,1,1700000,3,1843333.3333
הוד השרון,9700,2023,1,2270000,,
הרצליה,6400,2018,4,1585000,2,1900000
הרצליה,6400,2019,3,1536666.6666,,
הרצליה,6400,2020,,,2,1820000
חדרה,6500,2017,9,964444.4444,4,1162500
חדרה,6500,2018,18,925111.1111,4,1146250
חדרה,6500,2019,8,958625,1,1085000
חדרה,6500,2020,4,838000,,
חדרה,6500,2021,1,890000,,
חדרה,6500,2022,1,1400000,4,1571000
חדרה,6500,2023,6,1455833.3333,16,1878937.5
חדרה,6500,2024,2,1545000,6,1814166.6666
חדרה,6500,2025,4,1482500,3,1930000
חולון,6600,2017,17,1376882.3529,1,1860000
חולון,6600,2018,22,1410045.4545,4,1637500
חולון,6600,2019,12,1424166.6666,6,1727500
חולון,6600,2020,4,1417500,,
חולון,6600,2021,1,1400000,,
חולון,6600,2022,9,1981666.6666,7,2256000
חולון,6600,2023,14,2111500,18,2431000
חולון,6600,2024,2,1770000,12,2276833.3333
חולון,6600,2025,3,1933333.3333,2,2045000
חיפה,4000,2017,8,925625,4,1411125
חיפה,4000,2018,29,901413.7931,20,1240650
חיפה,4000,2019,20,910600,7,1159518.5714
חיפה,4000,2020,12,890416.6666,4,1152500
חיפה,4000,2021,,,2,1147500
חיפה,4000,2022,12,1219583.3333,17,1517647.0588
חיפה,4000,2023,4,1320000,22,1614454.5454
